Task,Status,Due Date,Completion Date,Priority,Progress %,Auto Progress,Overdue?,Effort (hrs),Phase,Assignee
Define project scope and deliverables,Not Started,2025-10-18,,High,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",6,Phase 1 – Planning & Scope,Both
"Confirm data sources (Strava, OSM, Weather)",Not Started,2025-10-18,,High,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",6,Phase 1 – Planning & Scope,Both
"Select modeling approach (Content-Based, Collaborative)",Not Started,2025-10-18,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",4,Phase 1 – Planning & Scope,Both
Implement Strava API authentication and ingestion,Not Started,2025-11-01,,High,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",10,Phase 2 – Data Acquisition,Person A
Incorporate OpenStreetMap attributes,Not Started,2025-11-01,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",8,Phase 2 – Data Acquisition,Person B
Integrate external weather API data,Not Started,2025-11-01,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",8,Phase 2 – Data Acquisition,Person A
Validate and document synthetic dataset,Not Started,2025-11-01,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",8,Phase 2 – Data Acquisition,Person B
Perform exploratory data analysis and visualizations,Not Started,2025-11-15,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",12,Phase 3 – Development,Person A
"Engineer features (time, elevation, difficulty score)",Not Started,2025-11-15,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",12,Phase 3 – Development,Person B
Develop content-based recommendation engine,Not Started,2025-11-15,,High,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",14,Phase 3 – Development,Person A
Prototype collaborative filtering model,Not Started,2025-11-15,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",10,Phase 3 – Development,Person B
Benchmark recommendations against baseline,Not Started,2025-11-22,,High,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",10,Phase 4 – Evaluation,Person A
Conduct validation with test datasets,Not Started,2025-11-22,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",8,Phase 4 – Evaluation,Person B
"Document results, insights, and lessons learned",Not Started,2025-11-22,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",6,Phase 4 – Evaluation,Both
Plan prototype dashboard deployment,Not Started,2025-11-29,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",6,Phase 5 – Future Enhancements,Both
Assess scalability and multi-user considerations,Not Started,2025-11-29,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",6,Phase 5 – Future Enhancements,Both
Outline roadmap for feature extensions,Not Started,2025-11-29,,Medium,0,"if(prop(""Status"") == ""Completed"", 100, if(prop(""Status"") == ""In Progress"", 50, 0))","if(and(empty(prop(""Completion Date"")), dateBetween(now(), prop(""Due Date""), now())), ""✅ On Time"", if(dateBetween(prop(""Due Date""), now(), ""day""), ""⚠️ Overdue"", """"))",4,Phase 5 – Future Enhancements,Both
